ts,dir,result,gate,detail
2025.01.02 05:40:00,S,BLOCK,htf_trend,
2025.01.02 05:41:00,S,BLOCK,htf_trend,
2025.01.02 05:42:00,S,BLOCK,htf_trend,
2025.01.02 05:43:00,S,BLOCK,htf_trend,
2025.01.02 05:44:00,S,BLOCK,htf_trend,
2025.01.02 05:45:00,S,BLOCK,htf_trend,
2025.01.02 05:46:00,S,BLOCK,htf_trend,
2025.01.02 05:47:00,S,BLOCK,htf_trend,
2025.01.02 05:48:00,S,BLOCK,htf_trend,
2025.01.02 05:49:00,S,BLOCK,htf_trend,
2025.01.02 05:50:00,S,BLOCK,htf_trend,
2025.01.02 05:51:00,S,BLOCK,htf_trend,
2025.01.02 05:52:00,S,BLOCK,htf_trend,
2025.01.02 05:53:00,S,BLOCK,htf_trend,
2025.01.02 05:54:00,S,BLOCK,htf_trend,
2025.01.02 08:14:00,S,BLOCK,htf_trend,
2025.01.02 08:15:00,S,BLOCK,htf_trend,
2025.01.02 08:16:00,S,BLOCK,htf_trend,
2025.01.02 08:17:00,S,BLOCK,htf_trend,
2025.01.02 08:18:00,S,BLOCK,htf_trend,
2025.01.02 08:19:00,S,PASS,all,tq=8
2025.01.02 08:51:00,S,BLOCK,price_pos,px=156.768,ema25=156.619
2025.01.02 08:52:00,S,BLOCK,price_pos,px=156.761,ema25=156.630
2025.01.02 08:53:00,S,BLOCK,price_pos,px=156.766,ema25=156.640
2025.01.02 08:54:00,S,BLOCK,htf_trend,
2025.01.02 08:55:00,S,BLOCK,htf_trend,
2025.01.02 08:56:00,S,BLOCK,htf_trend,
2025.01.02 08:57:00,S,BLOCK,htf_trend,
2025.01.02 08:58:00,S,BLOCK,htf_trend,
2025.01.02 08:59:00,S,BLOCK,htf_trend,
2025.01.02 09:00:00,S,BLOCK,htf_trend,
2025.01.02 09:01:00,S,BLOCK,htf_trend,
2025.01.02 09:02:00,S,BLOCK,htf_trend,
2025.01.02 09:03:00,S,BLOCK,htf_trend,
2025.01.02 09:04:00,S,BLOCK,htf_trend,
2025.01.02 09:05:00,S,BLOCK,htf_trend,
2025.01.02 09:06:00,S,BLOCK,htf_trend,
2025.01.02 09:07:00,S,BLOCK,htf_trend,
2025.01.02 09:08:00,S,BLOCK,htf_trend,
2025.01.02 09:09:00,S,BLOCK,htf_trend,
2025.01.02 09:10:00,S,BLOCK,htf_trend,
2025.01.02 09:11:00,S,BLOCK,htf_trend,
2025.01.02 09:12:00,S,BLOCK,htf_trend,
2025.01.02 09:13:00,S,BLOCK,htf_trend,
2025.01.02 09:14:00,S,BLOCK,htf_trend,
2025.01.02 09:15:00,S,BLOCK,htf_trend,
2025.01.02 09:16:00,S,BLOCK,htf_trend,
2025.01.02 09:17:00,S,BLOCK,htf_trend,
2025.01.02 09:19:00,S,BLOCK,htf_trend,
2025.01.02 14:17:00,S,BLOCK,trend_strength,adx=16.22,min=19.50
2025.01.02 14:19:00,S,BLOCK,momentum,
2025.01.02 14:20:00,S,BLOCK,momentum,
2025.01.02 14:21:00,S,BLOCK,momentum,
2025.01.02 14:22:00,S,BLOCK,momentum,
2025.01.02 14:23:00,S,BLOCK,momentum,
2025.01.02 14:24:00,S,PASS,all,tq=9
2025.01.02 14:42:00,S,BLOCK,price_pos,px=156.932,ema25=156.826
2025.01.02 14:43:00,S,BLOCK,price_pos,px=156.909,ema25=156.834
2025.01.02 14:44:00,S,BLOCK,htf_trend,
2025.01.02 14:45:00,S,BLOCK,htf_trend,
2025.01.02 14:46:00,S,BLOCK,htf_trend,
2025.01.02 14:47:00,S,BLOCK,htf_trend,
2025.01.02 14:48:00,S,BLOCK,htf_trend,
2025.01.02 14:49:00,S,BLOCK,htf_trend,
2025.01.02 14:50:00,S,BLOCK,htf_trend,
2025.01.02 14:51:00,S,BLOCK,htf_trend,
2025.01.02 14:52:00,S,BLOCK,htf_trend,
2025.01.02 14:53:00,S,BLOCK,htf_trend,
2025.01.02 14:54:00,S,BLOCK,htf_trend,
2025.01.02 14:55:00,S,BLOCK,htf_trend,
2025.01.02 14:56:00,S,BLOCK,htf_trend,
2025.01.02 14:57:00,S,BLOCK,htf_trend,
2025.01.02 14:58:00,S,BLOCK,htf_trend,
2025.01.02 14:59:00,S,BLOCK,htf_trend,
2025.01.03 02:21:00,S,BLOCK,htf_trend,
2025.01.03 02:22:00,S,BLOCK,htf_trend,
2025.01.03 02:23:00,S,BLOCK,htf_trend,
2025.01.03 02:24:00,S,BLOCK,htf_trend,
2025.01.03 02:25:00,S,BLOCK,htf_trend,
2025.01.03 02:26:00,S,BLOCK,htf_trend,
2025.01.03 02:27:00,S,BLOCK,htf_trend,
2025.01.03 02:28:00,S,BLOCK,htf_trend,
2025.01.03 02:29:00,S,BLOCK,htf_trend,
2025.01.03 02:30:00,S,BLOCK,htf_trend,
2025.01.03 02:31:00,S,BLOCK,htf_trend,
2025.01.03 02:32:00,S,BLOCK,htf_trend,
2025.01.03 02:33:00,S,BLOCK,htf_trend,
2025.01.03 02:34:00,S,BLOCK,mtf,
2025.01.03 02:35:00,S,BLOCK,mtf,
2025.01.03 02:37:00,S,BLOCK,mtf,
2025.01.03 02:38:00,S,BLOCK,mtf,
2025.01.03 02:39:00,S,BLOCK,htf_trend,
2025.01.03 02:40:00,S,BLOCK,htf_trend,
2025.01.03 02:41:00,S,BLOCK,htf_trend,
2025.01.03 02:42:00,S,BLOCK,htf_trend,
2025.01.03 02:43:00,S,BLOCK,htf_trend,
2025.01.03 02:44:00,S,BLOCK,mtf,
2025.01.03 02:45:00,S,BLOCK,mtf,
2025.01.03 02:46:00,S,BLOCK,mtf,
2025.01.03 02:47:00,S,BLOCK,mtf,
2025.01.03 02:48:00,S,BLOCK,mtf,
2025.01.03 02:49:00,S,BLOCK,mtf,
2025.01.03 02:56:00,S,BLOCK,mtf,
2025.01.03 02:57:00,S,BLOCK,mtf,
2025.01.03 02:58:00,S,BLOCK,mtf,
2025.01.03 02:59:00,S,BLOCK,mtf,
2025.01.03 03:00:00,S,BLOCK,mtf,
2025.01.03 03:01:00,S,BLOCK,mtf,
2025.01.03 03:02:00,S,BLOCK,mtf,
2025.01.03 03:03:00,S,BLOCK,mtf,
2025.01.03 03:04:00,S,BLOCK,mtf,
2025.01.03 03:05:00,S,BLOCK,mtf,
2025.01.03 03:07:00,S,BLOCK,trend_strength,adx=18.97,min=19.50
2025.01.03 03:20:00,S,BLOCK,mtf,
2025.01.03 03:21:00,S,BLOCK,mtf,
2025.01.03 03:22:00,S,BLOCK,mtf,
2025.01.03 03:23:00,S,BLOCK,mtf,
2025.01.03 03:24:00,S,BLOCK,mtf,
2025.01.03 03:26:00,S,BLOCK,mtf,
2025.01.03 03:27:00,S,BLOCK,mtf,
2025.01.03 03:28:00,S,BLOCK,mtf,
2025.01.03 03:29:00,S,BLOCK,htf_trend,
2025.01.03 05:10:00,S,BLOCK,mtf,
2025.01.03 05:11:00,S,BLOCK,mtf,
2025.01.03 05:12:00,S,BLOCK,mtf,
2025.01.03 05:13:00,S,BLOCK,mtf,
2025.01.03 05:14:00,S,BLOCK,mtf,
2025.01.03 05:15:00,S,BLOCK,mtf,
2025.01.03 05:16:00,S,BLOCK,mtf,
2025.01.03 05:17:00,S,BLOCK,mtf,
2025.01.03 05:18:00,S,BLOCK,mtf,
2025.01.03 05:19:00,S,BLOCK,htf_trend,
2025.01.03 05:20:00,S,BLOCK,htf_trend,
2025.01.03 05:24:00,S,BLOCK,mtf,
2025.01.03 05:28:00,S,BLOCK,mtf,
2025.01.03 05:29:00,S,BLOCK,mtf,
2025.01.03 05:30:00,S,BLOCK,mtf,
2025.01.03 05:31:00,S,BLOCK,mtf,
2025.01.03 05:32:00,S,BLOCK,mtf,
2025.01.03 05:33:00,S,BLOCK,mtf,
2025.01.03 05:34:00,S,BLOCK,mtf,
2025.01.03 05:35:00,S,BLOCK,mtf,
2025.01.03 05:36:00,S,BLOCK,mtf,
2025.01.03 05:37:00,S,BLOCK,mtf,
2025.01.03 05:38:00,S,BLOCK,mtf,
2025.01.03 07:30:00,S,BLOCK,price_pos,px=157.251,ema25=157.162
2025.01.03 07:31:00,S,BLOCK,price_pos,px=157.249,ema25=157.168
2025.01.03 07:32:00,S,BLOCK,price_pos,px=157.243,ema25=157.175
2025.01.03 07:33:00,S,BLOCK,price_pos,px=157.212,ema25=157.180
2025.01.03 07:34:00,S,BLOCK,price_pos,px=157.220,ema25=157.182
2025.01.03 07:35:00,S,BLOCK,price_pos,px=157.222,ema25=157.185
2025.01.03 07:36:00,S,BLOCK,price_pos,px=157.251,ema25=157.188
2025.01.03 07:37:00,S,BLOCK,price_pos,px=157.244,ema25=157.193
2025.01.03 07:38:00,S,BLOCK,mtf,
2025.01.03 07:39:00,S,BLOCK,mtf,
2025.01.03 07:40:00,S,BLOCK,mtf,
2025.01.03 07:41:00,S,BLOCK,mtf,
2025.01.03 07:42:00,S,BLOCK,mtf,
2025.01.03 07:44:00,S,BLOCK,trend_strength,adx=19.30,min=19.50
2025.01.03 07:45:00,S,BLOCK,mtf,
2025.01.03 07:47:00,S,BLOCK,mtf,
2025.01.03 07:48:00,S,BLOCK,mtf,
2025.01.03 07:49:00,S,BLOCK,mtf,
2025.01.03 07:50:00,S,PASS,all,tq=9
2025.01.03 08:10:00,S,BLOCK,price_pos,px=157.226,ema25=157.164
2025.01.03 08:11:00,S,BLOCK,price_pos,px=157.209,ema25=157.169
2025.01.03 08:12:00,S,BLOCK,trend_strength,adx=18.20,min=19.50
2025.01.03 08:13:00,S,BLOCK,trend_strength,adx=18.43,min=19.50
2025.01.03 08:14:00,S,BLOCK,htf_trend,
2025.01.03 08:15:00,S,BLOCK,htf_trend,
2025.01.03 08:16:00,S,BLOCK,htf_trend,
2025.01.03 08:17:00,S,BLOCK,htf_trend,
2025.01.03 08:18:00,S,BLOCK,htf_trend,
2025.01.03 08:19:00,S,BLOCK,htf_trend,
2025.01.03 08:20:00,S,BLOCK,htf_trend,
2025.01.03 08:21:00,S,BLOCK,htf_trend,
2025.01.03 08:22:00,S,BLOCK,htf_trend,
2025.01.03 08:23:00,S,BLOCK,htf_trend,
2025.01.03 08:24:00,S,BLOCK,htf_trend,
2025.01.03 08:25:00,S,BLOCK,htf_trend,
2025.01.03 08:26:00,S,BLOCK,htf_trend,
2025.01.03 08:27:00,S,BLOCK,htf_trend,
2025.01.03 08:28:00,S,BLOCK,htf_trend,
2025.01.03 08:29:00,S,BLOCK,htf_trend,
2025.01.03 08:30:00,S,BLOCK,htf_trend,
2025.01.03 08:31:00,S,BLOCK,htf_trend,
2025.01.03 08:32:00,S,BLOCK,htf_trend,
2025.01.03 08:33:00,S,BLOCK,htf_trend,
2025.01.03 08:34:00,S,BLOCK,htf_trend,
2025.01.03 08:36:00,S,BLOCK,htf_trend,
2025.01.03 08:38:00,S,BLOCK,htf_trend,
2025.01.03 13:52:00,S,BLOCK,price_pos,px=157.223,ema25=157.167
2025.01.03 13:53:00,S,BLOCK,price_pos,px=157.223,ema25=157.171
2025.01.03 13:54:00,S,BLOCK,htf_trend,
2025.01.03 14:06:00,S,BLOCK,trend_strength,adx=17.28,min=19.50
2025.01.03 14:07:00,S,BLOCK,trend_strength,adx=17.03,min=19.50
2025.01.03 14:08:00,S,BLOCK,trend_strength,adx=16.52,min=19.50
2025.01.03 14:09:00,S,BLOCK,trend_strength,adx=16.51,min=19.50
2025.01.03 14:10:00,S,BLOCK,trend_strength,adx=16.50,min=19.50
2025.01.03 14:12:00,S,BLOCK,trend_strength,adx=14.27,min=19.50
2025.01.03 14:13:00,S,BLOCK,trend_strength,adx=14.33,min=19.50
2025.01.03 14:15:00,S,BLOCK,trend_strength,adx=12.70,min=19.50
2025.01.06 01:12:00,L,BLOCK,mtf,
2025.01.06 01:13:00,L,BLOCK,mtf,
2025.01.06 01:14:00,L,BLOCK,htf_trend,
2025.01.06 01:15:00,L,BLOCK,htf_trend,
2025.01.06 01:16:00,L,BLOCK,htf_trend,
2025.01.06 01:17:00,L,BLOCK,htf_trend,
2025.01.06 01:18:00,L,BLOCK,htf_trend,
2025.01.06 01:19:00,L,BLOCK,htf_trend,
2025.01.06 01:20:00,L,BLOCK,htf_trend,
2025.01.06 01:21:00,L,BLOCK,htf_trend,
2025.01.06 01:22:00,L,BLOCK,htf_trend,
2025.01.06 01:23:00,L,BLOCK,htf_trend,
2025.01.06 01:24:00,L,BLOCK,mtf,
2025.01.06 01:25:00,L,BLOCK,mtf,
2025.01.06 01:26:00,L,BLOCK,mtf,
2025.01.06 01:27:00,L,BLOCK,mtf,
2025.01.06 01:28:00,L,BLOCK,mtf,
2025.01.06 01:29:00,L,BLOCK,mtf,
2025.01.06 01:30:00,L,BLOCK,mtf,
2025.01.06 01:33:00,L,BLOCK,mtf,
2025.01.06 01:34:00,L,BLOCK,mtf,
2025.01.06 01:35:00,L,BLOCK,mtf,
2025.01.06 01:36:00,L,BLOCK,mtf,
2025.01.06 01:37:00,L,BLOCK,mtf,
2025.01.06 01:38:00,L,BLOCK,mtf,
2025.01.06 01:39:00,L,BLOCK,mtf,
2025.01.06 01:40:00,L,BLOCK,mtf,
2025.01.06 02:21:00,L,BLOCK,trend_quality,tq=5,min=6
2025.01.06 02:22:00,L,BLOCK,momentum,
2025.01.06 02:23:00,L,BLOCK,momentum,
2025.01.06 02:24:00,L,BLOCK,momentum,
2025.01.06 02:25:00,L,BLOCK,momentum,
2025.01.06 02:26:00,L,BLOCK,momentum,
2025.01.06 02:27:00,L,BLOCK,momentum,
2025.01.06 02:28:00,L,BLOCK,momentum,
2025.01.06 02:29:00,L,BLOCK,trend_quality,tq=0,min=6
2025.01.06 02:31:00,L,BLOCK,trend_quality,tq=5,min=6
2025.01.06 02:32:00,L,BLOCK,momentum,
2025.01.06 02:33:00,L,BLOCK,momentum,
2025.01.06 02:34:00,L,BLOCK,momentum,
2025.01.06 02:35:00,L,BLOCK,momentum,
2025.01.06 02:36:00,L,BLOCK,momentum,
2025.01.06 02:37:00,L,BLOCK,momentum,
2025.01.06 02:38:00,L,BLOCK,momentum,
2025.01.06 02:39:00,L,BLOCK,momentum,
2025.01.06 02:40:00,L,BLOCK,momentum,
2025.01.06 02:41:00,L,PASS,all,tq=7
2025.01.06 05:09:00,L,BLOCK,price_pos,px=157.703,ema25=157.714
2025.01.06 05:10:00,L,BLOCK,price_pos,px=157.708,ema25=157.713
2025.01.06 05:13:00,L,BLOCK,trend_quality,tq=0,min=6
2025.01.06 05:14:00,L,BLOCK,momentum,
2025.01.06 05:15:00,L,BLOCK,momentum,
2025.01.06 05:16:00,L,BLOCK,momentum,
2025.01.06 05:17:00,L,BLOCK,momentum,
2025.01.06 05:18:00,L,BLOCK,momentum,
2025.01.06 05:19:00,L,BLOCK,momentum,
2025.01.06 05:20:00,L,BLOCK,momentum,
2025.01.06 05:21:00,L,BLOCK,momentum,
2025.01.06 05:22:00,L,BLOCK,momentum,
2025.01.06 05:23:00,L,PASS,all,tq=8
2025.01.06 06:19:00,L,BLOCK,htf_trend,
2025.01.06 06:20:00,L,BLOCK,htf_trend,
2025.01.06 06:21:00,L,BLOCK,htf_trend,
2025.01.06 06:22:00,L,BLOCK,htf_trend,
2025.01.06 06:23:00,L,BLOCK,htf_trend,
2025.01.06 06:24:00,L,BLOCK,htf_trend,
2025.01.06 06:25:00,L,BLOCK,htf_trend,
2025.01.06 06:26:00,L,BLOCK,htf_trend,
2025.01.06 06:27:00,L,BLOCK,htf_trend,
2025.01.06 06:28:00,L,BLOCK,htf_trend,
2025.01.06 06:29:00,L,BLOCK,htf_trend,
2025.01.06 06:30:00,L,BLOCK,htf_trend,
2025.01.06 06:31:00,L,BLOCK,htf_trend,
2025.01.06 06:32:00,L,BLOCK,htf_trend,
2025.01.06 06:33:00,L,BLOCK,htf_trend,
2025.01.06 08:51:00,L,BLOCK,price_pos,px=157.695,ema25=157.723
2025.01.06 08:52:00,L,BLOCK,price_pos,px=157.689,ema25=157.721
2025.01.06 08:53:00,L,BLOCK,price_pos,px=157.669,ema25=157.719
2025.01.06 08:54:00,L,BLOCK,htf_trend,
2025.01.06 08:55:00,L,BLOCK,htf_trend,
2025.01.06 08:56:00,L,BLOCK,htf_trend,
2025.01.06 08:57:00,L,BLOCK,htf_trend,
2025.01.06 08:58:00,L,BLOCK,htf_trend,
2025.01.06 08:59:00,L,BLOCK,htf_trend,
2025.01.06 09:00:00,L,BLOCK,htf_trend,
2025.01.06 09:01:00,L,BLOCK,htf_trend,
2025.01.06 09:02:00,L,BLOCK,htf_trend,
2025.01.06 09:03:00,L,BLOCK,htf_trend,
2025.01.06 09:04:00,L,BLOCK,htf_trend,
2025.01.06 09:05:00,L,BLOCK,htf_trend,
2025.01.06 09:06:00,L,BLOCK,htf_trend,
2025.01.06 09:07:00,L,BLOCK,htf_trend,
2025.01.06 09:08:00,L,BLOCK,htf_trend,
2025.01.06 09:09:00,L,BLOCK,htf_trend,
2025.01.06 09:10:00,L,BLOCK,htf_trend,
2025.01.06 09:11:00,L,BLOCK,htf_trend,
2025.01.06 09:12:00,L,BLOCK,htf_trend,
2025.01.06 09:13:00,L,BLOCK,htf_trend,
2025.01.06 09:14:00,L,BLOCK,htf_trend,
2025.01.06 09:15:00,L,BLOCK,htf_trend,
2025.01.06 09:16:00,L,BLOCK,htf_trend,
2025.01.06 09:17:00,L,BLOCK,htf_trend,
2025.01.06 09:18:00,L,BLOCK,htf_trend,
2025.01.06 09:19:00,L,BLOCK,momentum,
2025.01.06 14:14:00,S,BLOCK,htf_trend,
2025.01.06 14:15:00,S,BLOCK,htf_trend,
2025.01.06 14:16:00,S,BLOCK,htf_trend,
2025.01.06 14:17:00,S,BLOCK,htf_trend,
2025.01.06 14:18:00,S,BLOCK,htf_trend,
2025.01.06 14:19:00,S,BLOCK,htf_trend,
2025.01.06 14:20:00,S,BLOCK,htf_trend,
2025.01.06 14:21:00,S,BLOCK,htf_trend,
2025.01.06 14:22:00,S,BLOCK,htf_trend,
2025.01.06 14:23:00,S,BLOCK,htf_trend,
2025.01.06 14:24:00,S,BLOCK,htf_trend,
2025.01.06 14:25:00,S,BLOCK,htf_trend,
2025.01.06 14:26:00,S,BLOCK,htf_trend,
2025.01.06 14:27:00,S,BLOCK,htf_trend,
2025.01.06 14:28:00,S,BLOCK,htf_trend,
2025.01.06 14:29:00,S,BLOCK,htf_trend,
2025.01.06 14:30:00,S,BLOCK,htf_trend,
2025.01.06 14:31:00,S,BLOCK,htf_trend,
2025.01.06 14:32:00,S,BLOCK,htf_trend,
2025.01.06 14:33:00,S,BLOCK,htf_trend,
2025.01.06 14:34:00,S,BLOCK,htf_trend,
2025.01.06 14:35:00,S,BLOCK,htf_trend,
2025.01.06 14:36:00,S,BLOCK,htf_trend,
2025.01.06 14:37:00,S,BLOCK,htf_trend,
2025.01.06 14:38:00,S,BLOCK,htf_trend,
2025.01.06 14:39:00,S,BLOCK,htf_trend,
2025.01.06 14:40:00,S,BLOCK,htf_trend,
2025.01.06 14:41:00,S,BLOCK,htf_trend,
2025.01.06 14:42:00,S,BLOCK,htf_trend,
2025.01.07 03:16:00,L,BLOCK,htf_trend,
2025.01.07 03:17:00,L,BLOCK,htf_trend,
2025.01.07 03:18:00,L,BLOCK,htf_trend,
2025.01.07 03:19:00,L,BLOCK,htf_trend,
2025.01.07 03:20:00,L,BLOCK,htf_trend,
2025.01.07 03:21:00,L,BLOCK,htf_trend,
2025.01.07 03:22:00,L,BLOCK,htf_trend,
2025.01.07 03:23:00,L,BLOCK,trend_strength,adx=18.67,min=19.50
2025.01.07 03:24:00,L,BLOCK,htf_trend,
2025.01.07 03:25:00,L,BLOCK,htf_trend,
2025.01.07 03:26:00,L,BLOCK,htf_trend,
2025.01.07 03:27:00,L,BLOCK,htf_trend,
2025.01.07 03:28:00,L,BLOCK,htf_trend,
2025.01.07 03:29:00,L,BLOCK,htf_trend,
2025.01.07 09:19:00,S,BLOCK,htf_trend,
2025.01.07 09:20:00,S,BLOCK,htf_trend,
2025.01.07 09:21:00,S,BLOCK,htf_trend,
2025.01.07 09:22:00,S,BLOCK,htf_trend,
2025.01.07 09:23:00,S,BLOCK,htf_trend,
2025.01.07 09:24:00,S,BLOCK,htf_trend,
2025.01.07 09:25:00,S,BLOCK,htf_trend,
2025.01.07 09:26:00,S,BLOCK,htf_trend,
2025.01.07 09:27:00,S,BLOCK,htf_trend,
2025.01.07 09:28:00,S,BLOCK,htf_trend,
2025.01.07 09:29:00,S,BLOCK,htf_trend,
2025.01.07 13:47:00,S,BLOCK,trend_strength,adx=15.21,min=19.50
2025.01.07 13:48:00,S,BLOCK,trend_strength,adx=18.36,min=19.50
2025.01.07 13:49:00,S,BLOCK,htf_trend,
2025.01.07 13:50:00,S,BLOCK,htf_trend,
2025.01.07 13:51:00,S,BLOCK,htf_trend,
2025.01.07 13:52:00,S,BLOCK,htf_trend,
2025.01.07 13:53:00,S,BLOCK,htf_trend,
2025.01.07 13:54:00,S,BLOCK,htf_trend,
2025.01.07 13:59:00,S,BLOCK,mtf,
2025.01.07 14:19:00,S,BLOCK,htf_trend,
2025.01.07 14:20:00,S,BLOCK,htf_trend,
2025.01.07 14:21:00,S,BLOCK,htf_trend,
2025.01.07 14:22:00,S,BLOCK,htf_trend,
2025.01.07 14:23:00,S,BLOCK,htf_trend,
2025.01.07 14:24:00,S,BLOCK,htf_trend,
2025.01.07 14:25:00,S,BLOCK,htf_trend,
2025.01.07 14:26:00,S,BLOCK,htf_trend,
2025.01.07 14:27:00,S,BLOCK,htf_trend,
2025.01.07 14:28:00,S,BLOCK,htf_trend,
2025.01.07 14:29:00,S,BLOCK,htf_trend,
2025.01.07 14:30:00,S,BLOCK,htf_trend,
2025.01.07 14:31:00,S,BLOCK,htf_trend,
2025.01.07 14:32:00,S,BLOCK,htf_trend,
2025.01.07 14:33:00,S,BLOCK,htf_trend,
2025.01.07 14:36:00,S,BLOCK,htf_trend,
2025.01.07 14:37:00,S,BLOCK,htf_trend,
2025.01.07 14:38:00,S,BLOCK,htf_trend,
2025.01.07 14:39:00,S,BLOCK,mtf,
2025.01.07 14:40:00,S,BLOCK,mtf,
2025.01.07 14:41:00,S,BLOCK,mtf,
2025.01.07 14:42:00,S,BLOCK,mtf,
2025.01.07 14:43:00,S,BLOCK,mtf,
2025.01.07 14:44:00,S,BLOCK,htf_trend,
2025.01.07 14:45:00,S,BLOCK,htf_trend,
2025.01.07 14:46:00,S,BLOCK,htf_trend,
2025.01.07 14:47:00,S,BLOCK,htf_trend,
2025.01.08 00:17:00,L,BLOCK,price_pos,px=158.056,ema25=158.153
2025.01.08 00:18:00,L,BLOCK,price_pos,px=158.067,ema25=158.146
2025.01.08 00:19:00,L,BLOCK,htf_trend,
2025.01.08 00:20:00,L,BLOCK,htf_trend,
2025.01.08 00:21:00,L,BLOCK,htf_trend,
2025.01.08 00:22:00,L,BLOCK,htf_trend,
2025.01.08 00:23:00,L,BLOCK,htf_trend,
2025.01.08 00:24:00,L,BLOCK,htf_trend,
2025.01.08 00:25:00,L,BLOCK,htf_trend,
2025.01.08 00:26:00,L,BLOCK,htf_trend,
2025.01.08 00:27:00,L,BLOCK,htf_trend,
2025.01.08 00:28:00,L,BLOCK,htf_trend,
2025.01.08 00:29:00,L,BLOCK,htf_trend,
2025.01.08 00:30:00,L,BLOCK,htf_trend,
2025.01.08 00:31:00,L,BLOCK,htf_trend,
2025.01.08 00:32:00,L,BLOCK,htf_trend,
2025.01.08 00:33:00,L,BLOCK,htf_trend,
2025.01.08 00:34:00,L,BLOCK,htf_trend,
2025.01.08 00:35:00,L,BLOCK,htf_trend,
2025.01.08 00:36:00,L,BLOCK,htf_trend,
2025.01.08 00:37:00,L,BLOCK,htf_trend,
2025.01.08 00:38:00,L,BLOCK,htf_trend,
2025.01.08 00:41:00,L,BLOCK,htf_trend,
2025.01.08 00:42:00,L,BLOCK,htf_trend,
2025.01.08 00:43:00,L,BLOCK,htf_trend,
2025.01.08 00:44:00,L,BLOCK,htf_trend,
2025.01.08 00:45:00,L,BLOCK,htf_trend,
2025.01.08 05:26:00,L,BLOCK,htf_trend,
2025.01.08 05:27:00,L,BLOCK,htf_trend,
2025.01.08 05:28:00,L,BLOCK,htf_trend,
2025.01.08 05:29:00,L,BLOCK,htf_trend,
2025.01.08 05:30:00,L,BLOCK,htf_trend,
2025.01.08 05:31:00,L,BLOCK,htf_trend,
2025.01.08 05:32:00,L,BLOCK,htf_trend,
2025.01.08 05:33:00,L,BLOCK,htf_trend,
2025.01.08 05:34:00,L,BLOCK,htf_trend,
2025.01.08 05:35:00,L,BLOCK,htf_trend,
